meanBER_cc,meanPER_cc,SNRpercomm_cc,meanAWGN_POWER_cc,meanUP_LOSS_cc,meanDOWN_LOSS_cc,meanTEMPERATURE_cc,meanWV_DENSITY_cc,meanUP_THERMAL_POWER_cc,meanDW_THERMAL_POWER_cc
0,0,12.43,3.0502e+05,42.965,42.617,288.15,0.0065232,3.1772e-11,2.7832e-11
0,0,6.8424,1.2914e+06,40.929,42.367,293.38,0.0082686,3.3181e-11,2.7731e-11
0,0,11.76,4.2954e+05,41.136,43.048,291.5,0.0096148,3.1853e-11,3.3355e-11
0,0,10.034,5.4202e+05,42.721,41.897,290.35,0.0077014,3.2244e-11,3.2033e-11
0,0,23.917,30767,42.312,40.138,295.47,0.010831,3.2502e-11,3.1874e-11
0,0,10.728,6.2687e+05,43.297,40.917,291.64,0.0093651,3.3466e-11,2.8554e-11
0,0,23.034,15380,44.207,42.636,285.04,0.0052094,2.8909e-11,3.0219e-11
0,0,24.132,12691,42.493,43.88,286.01,0.0053429,3.4398e-11,2.9455e-11
0,0,13.212,2.2397e+05,45.222,39.107,291.46,0.0077586,3.1731e-11,3.2616e-11
0,0,24.963,8564.4,42.834,44.436,284.08,0.0041677,3.7901e-11,3.6904e-11
0,0,12.497,5.6266e+05,41.429,41.001,295.71,0.012581,3.5123e-11,2.7574e-11
0.0025773,0.33333,6.5032,5.9172e+05,44.855,43.563,281.57,0.0041468,3.1698e-11,3.2634e-11
0,0,6.6699,1.0895e+06,43.413,41.386,289.78,0.0074173,3.0872e-11,2.9075e-11
0,0,8.1184,7.0773e+05,41.989,42.742,289.83,0.0064568,3.8378e-11,2.9049e-11
0.0090206,0.33333,5.4639,1.5729e+06,42.811,41.242,291.49,0.0069674,3.9091e-11,3.7508e-11
0,0,22.557,27951,40.129,44.425,290.68,0.010465,3.4073e-11,2.7864e-11
0,0,7.9435,7.8028e+05,42.28,43.19,288.38,0.0071706,3.5277e-11,3.0188e-11
0,0,13.175,4.6914e+05,41.298,39.856,298.51,0.0079387,3.2965e-11,3.3024e-11
0,0,24.981,27705,42.217,39.956,296.21,0.0092091,3.4143e-11,3.0411e-11
0,0,5.9227,1.9347e+06,39.944,42.945,294.64,0.011724,3.3139e-11,3.1357e-11
0,0,17.456,66885,43.811,42.181,287.09,0.0032299,3.377e-11,2.6095e-11
0,0,17.57,98015,43.316,41.627,289.57,0.0066594,3.4996e-11,2.9105e-11
