meanBER_nc,meanPER_nc,SNRpercomm_nc,meanAWGN_POWER_nc,meanUP_LOSS_nc,meanDOWN_LOSS_nc,meanTEMPERATURE_nc,meanWV_DENSITY_nc,meanUP_THERMAL_POWER_nc,meanDW_THERMAL_POWER_nc
0,0,24.406,12982,44.724,41.403,286.74,0.0059306,2.7858e-11,3.0795e-11
0,0,24.794,16237,43.242,42.103,288.49,0.0067359,3.5561e-11,2.6553e-11
0,0,19.793,1.4315e+05,39.901,40.119,301.42,0.01381,3.1736e-11,2.6775e-11
0,0,14.291,1.592e+05,40.882,44.057,289.66,0.011737,3.0773e-11,2.6752e-11
0,0,12.461,1.8607e+05,45.213,41.492,285.52,0.0058487,3.4018e-11,2.6186e-11
0,0,24.275,14169,43.414,42.403,287.33,0.0069071,3.1855e-11,3.5025e-11
0,0,20.609,30977,43.337,42.772,286.63,0.0048454,3.2205e-11,3.805e-11
0,0,16.971,1.7774e+05,42.112,40.36,295.54,0.0070224,2.7444e-11,2.5548e-11
0,0,13.916,2.2487e+05,44.305,40.528,290.17,0.012043,2.9201e-11,2.6041e-11
0,0,16.293,1.335e+05,41.613,41.933,293.23,0.011358,3.4687e-11,2.6169e-11
0,0,21.431,81533,41.375,40.9,296.11,0.010717,2.9682e-11,2.6741e-11
0,0,12.56,2.9351e+05,40.953,42.959,291.93,0.0061339,3.8831e-11,2.8354e-11
0,0,19.868,84388,42.842,40.073,294.53,0.00443,3.9173e-11,2.7085e-11
0,0,14.375,3.23e+05,40.773,41.342,296.5,0.0074227,3.5634e-11,3.0814e-11
0,0,22.828,20306,43.479,42.599,286.88,0.0073987,3.3246e-11,2.8603e-11
0,0,15.328,1.1695e+05,42.369,43.975,286.35,0.0059176,3.1605e-11,3.6893e-11
0,0,19.775,42517,43.644,41.367,289.36,0.0045707,3.0968e-11,3.0701e-11
0,0,12.36,3.2265e+05,44.079,41.339,288.7,0.007134,2.7348e-11,3.1077e-11
0.06701,0.66667,5.81,9.7658e+05,44.25,41.591,287.43,0.0049442,3.271e-11,3.2276e-11
0,0,12.761,2.8177e+05,42.919,43.518,286.16,0.0057148,4.1549e-11,3.1377e-11
0.029639,1,6.5015,1.2439e+06,42.976,40.986,291.87,0.0090638,3.4523e-11,3.3795e-11
0,0,20.215,90689,40.36,43.09,293.49,0.011493,3.1511e-11,3.2427e-11
0,0,14.608,1.4405e+05,44.308,40.81,289.06,0.006081,3.0671e-11,3.3508e-11
0,0,15.046,2.4993e+05,42.411,40.753,293.83,0.0085964,2.8725e-11,2.8736e-11
0,0,11.95,2.8426e+05,41.221,44.257,288.44,0.0042471,3.1225e-11,2.7408e-11
0.010309,0.66667,8.069,1.3065e+06,41.196,41.247,295.83,0.010489,2.8837e-11,2.7861e-11
0,0,13.481,4.9898e+05,40.528,41.039,297.63,0.0063346,3.2622e-11,2.8294e-11
0,0,18.389,1.332e+05,41.035,41.546,295.74,0.01529,2.8744e-11,3.0455e-11
0,0,18.709,1.885e+05,39.942,39.579,302.58,0.0093127,3.5909e-11,2.5228e-11
0,0,20.603,54210,39.938,43.358,293.57,0.012797,3.0947e-11,3.4181e-11
0.034794,0.66667,6.1143,1.3843e+06,43.313,40.21,292.93,0.010439,3.7394e-11,2.6896e-11
0.0012887,0.33333,11.024,3.7552e+05,43.014,42.782,287.7,0.0037631,3.158e-11,3.7033e-11
0,0,12.83,2.3976e+05,41.875,43.906,287.69,0.0063534,3.1027e-11,2.9162e-11
0,0,11.151,2.9018e+05,42.286,43.38,287.66,0.0051304,3.5431e-11,2.7634e-11
0,0,16.649,1.2248e+05,43.524,40.343,292,0.0071088,2.9883e-11,2.7889e-11
0,0,17.294,95450,40.84,43.327,291.37,0.0083346,3.5746e-11,3.1632e-11
0,0,12.735,2.3636e+05,42.036,42.662,290.63,0.011077,3.0863e-11,3.2283e-11
0,0,12.94,4.0098e+05,40.888,42.894,292.37,0.008583,3.2035e-11,2.9883e-11
0,0,11.009,3.5875e+05,41.283,43.223,290.92,0.011847,3.2615e-11,2.6005e-11
0,0,24.562,6721.9,45.522,42.975,281.36,0.0039808,3.052e-11,3.3604e-11
0.011598,0.66667,7.9175,6.9134e+05,42.539,42.485,289.08,0.0077116,3.761e-11,3.0326e-11
0,0,24.258,14488,42.174,43.302,288.23,0.0066253,3.0628e-11,2.9337e-11
0,0,10.568,1.3659e+05,45.769,43.353,279.78,0.0033593,3.3452e-11,2.2716e-11
0.0064433,0.66667,8.3617,3.6641e+05,45.226,42.323,283.57,0.0048479,2.6235e-11,2.6496e-11
